block_number,transaction_index,from_address,to_address,time_stamp,contract_address,value
14500010,190,0xb8ac05b6003c8106226b1231989af2d778ce7098,0xbc40e7c0ee527bbac9a3c010922938b365a50ff7,1648811548,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,5
14500012,69,0x7b2b452ce19601a6e4e6c3419c66b0bafd74ce6e,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1648811564,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,14.45216519
14500018,43,0x77696bb39917c91a0c3908d577d5e322095425ca,0x098a57b9bcad4f3c5fd0ac877d0e2436ae553a72,1648811640,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,2.01454506
14500031,2,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x46c4128981525aa446e02ffb2ff762f1d6a49170,1648811823,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,530.9915002
14500031,3,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,1648811823,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,20.35054924
14500031,3,0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,1648811823,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,474.2907131
14500031,3,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x9b9ba2b4708122067b3f7e26f0d590eb1c5c80ba,1648811823,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,494.6412624
14500031,4,0x46c4128981525aa446e02ffb2ff762f1d6a49170,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1648811823,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,530.9915002
14500074,250,0x098a57b9bcad4f3c5fd0ac877d0e2436ae553a72,0x0000000000000000000000000000000000000000,1648812404,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.5
14500098,42,0x0000000000000000000000000000000000000000,0x55802e0bd202eccade61fc1cc6665ba996ed9cbe,1648812643,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,3.290228
14500116,89,0xd5d718684cf4bb3d8427c047f2ef6de23ae2984f,0x74de5d4fcbf63e00296fd95d33236b9794016631,1648812878,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.406039278
14500116,89,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,1648812878,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.406039278
14500125,0,0x0000000000000000000000000000000000000000,0x0698f030885c358a2ac81afc2ff8bf7b086e0773,1648812981,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.083103
14500134,339,0x55802e0bd202eccade61fc1cc6665ba996ed9cbe,0x0000000000000000000000000000000000000000,1648813057,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,3.290228
14500137,234,0x098a57b9bcad4f3c5fd0ac877d0e2436ae553a72,0x0000000000000000000000000000000000000000,1648813101,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,1.514545
14500150,24,0xe257266e9082576127f23ca5076dc543bee9c0fa,0xf580a881be1cedb0db77cd3dec58d50ee223d11f,1648813243,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.2
14500160,105,0x49b684da7bdbd2a14036b4d511e990c48750f22d,0xc2ea113c212e265f2ce672e15fc97dc9b39b83b3,1648813511,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,1.25
14500178,110,0xf580a881be1cedb0db77cd3dec58d50ee223d11f,0x5f65f7b609678448494de4c87521cdf6cef1e932,1648813662,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.2
14500239,124,0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,1648814484,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,79.4018961
14500239,124,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x281743bff327fbf65569251169b381ae78329585,1648814484,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,79.4018961
14500255,131,0x7b8ab5b5d11fc23886fca98c4ff7925d9eb1b0c0,0x74de5d4fcbf63e00296fd95d33236b9794016631,1648814761,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,13.11687
14500255,131,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1648814761,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,13.11687
14500273,178,0xb4f61d17c8acb842845f429596a8f7d21b39d9a7,0x805f3674c50c2814d05aecad838ab0178c46e9b3,1648814965,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,40
14500289,81,0x5f65f7b609678448494de4c87521cdf6cef1e932,0x156223fb9b5b34550e786d4732824e7fdd0fe62c,1648815203,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.238655
14500316,50,0x0698f030885c358a2ac81afc2ff8bf7b086e0773,0x0000000000000000000000000000000000000000,1648815589,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.120193
14500319,289,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x83d420a602b5cd560ac5fa9bbca0d5e91e4cb975,1648815625,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,2.00866472
14500430,358,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x43d936856485c6ff09e05ffdf0a97989a433ab9d,1648816994,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,12.5
14500462,15,0x156223fb9b5b34550e786d4732824e7fdd0fe62c,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,1648817482,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.238655
14500546,160,0x0000000000000000000000000000000000000000,0x8f8c78b99bf1a0d38de628245a0032460dce07e5,1648818677,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.990228
14500555,53,0x0000000000000000000000000000000000000000,0x8f8c78b99bf1a0d38de628245a0032460dce07e5,1648818804,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,9.99
14500571,47,0x5f65f7b609678448494de4c87521cdf6cef1e932,0xaadcc7585803e381b8e4611a779b65f4e15da1aa,1648819028,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,10.545573
14500577,70,0x8f8c78b99bf1a0d38de628245a0032460dce07e5,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1648819135,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,10.980228
14500632,5,0x0000000000000000000000000000000000000000,0xb93f6d40581ddba7c127e9adb284eece648278c3,1648819822,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,29.99997
14500639,259,0xb93f6d40581ddba7c127e9adb284eece648278c3,0x25077489ea08f0edb95e0eb603b2bd9281088e3d,1648819915,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,29.99997
14500644,180,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x5c67b3110413f747a200098d8e9626b14dd90ad6,1648819951,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,31.75724099
14500645,88,0x8aff5ca996f77487a4f04f1ce905bf3d27455580,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1648819970,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,33.65384615
14500656,90,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x3f5a493a81517bfa9dd447f8425f5b6b921c9a38,1648820178,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,16.25896094
14500661,5,0x0000000000000000000000000000000000000000,0x5c67b3110413f747a200098d8e9626b14dd90ad6,1648820233,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,994.460456
14500664,166,0x25077489ea08f0edb95e0eb603b2bd9281088e3d,0x5f65f7b609678448494de4c87521cdf6cef1e932,1648820254,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,29.99997
14500677,225,0x5c67b3110413f747a200098d8e9626b14dd90ad6,0x9a739ec1fbc5af7d2ac9bffc44aeae147abeb09c,1648820340,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,1026.217697
14500695,70,0x5f65f7b609678448494de4c87521cdf6cef1e932,0x6d96f0afdc1ddf5e78e78530e940d487b8200d0c,1648820519,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.1
14500700,121,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x74de5d4fcbf63e00296fd95d33236b9794016631,1648820582,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,3.183321334
14500700,121,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x3d5497c6008cf352f75649aa123880e0d50e0fc1,1648820582,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,3.183321334
14500709,297,0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xd8f6398d1d8abc9adfede2f8d8c0fb641d9e4734,1648820736,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,215.2846665
14500709,297,0x1ac0dbb48d39c4155d6b50e09606456ba6342a5b,0xd8f6398d1d8abc9adfede2f8d8c0fb641d9e4734,1648820736,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,11.64926282
14500829,54,0x9b9ba2b4708122067b3f7e26f0d590eb1c5c80ba,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1648822324,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,494.6412624
14500908,12,0x0000000000000000000000000000000000000000,0xa7db212fa902071ef1802740b7c14c1478818e80,1648823262,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.090228
14500916,42,0x0000000000000000000000000000000000000000,0xa7db212fa902071ef1802740b7c14c1478818e80,1648823337,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,21.35862
14500920,112,0xae0169a43d15c1208bd6f7f3d77e556a1ec50f20,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1648823446,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,2.846397492
14500938,160,0xa7db212fa902071ef1802740b7c14c1478818e80,0x74de5d4fcbf63e00296fd95d33236b9794016631,1648823644,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,21.448848
14500938,160,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x0000006daea1723962647b7e189d311d757fb793,1648823644,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,21.448848
14500958,55,0x5f65f7b609678448494de4c87521cdf6cef1e932,0x3566d2d1a421eee44bcb8f88dbc7a6ebfc70b372,1648823745,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,5
14500962,161,0xc856f1d73d74fd8ed8ba7ada2b74e9f0744cf8db,0x74de5d4fcbf63e00296fd95d33236b9794016631,1648823827,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,17.46551135
14500962,161,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x0000006daea1723962647b7e189d311d757fb793,1648823827,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,17.46551135
14500963,56,0x0000006daea1723962647b7e189d311d757fb793,0x74de5d4fcbf63e00296fd95d33236b9794016631,1648823844,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,21.59135419
14500963,56,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xd1ac8d9fae6239d7449e7e5ed9495947d8d51dd7,1648823844,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,21.59135419
14500966,84,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xc44872d7eb18cf5a5fd338946d5df9db941b2ff7,1648823859,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,3.727841079
14500982,228,0x3566d2d1a421eee44bcb8f88dbc7a6ebfc70b372,0x77696bb39917c91a0c3908d577d5e322095425ca,1648824044,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,5
14500995,70,0xc44872d7eb18cf5a5fd338946d5df9db941b2ff7,0x0000000000000000000000000000000000000000,1648824276,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,3.727841
14501035,139,0x5f65f7b609678448494de4c87521cdf6cef1e932,0xf60fd90fc72e1eb4d2054a24f5dcf7658f166eda,1648824747,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0.1
